age,gamma
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0493028
21,0.0493028
22,0.0493028
23,0.0493028
24,0.0493028
25,0.0493028
26,0.0493028
27,0.0493028
28,0.0493028
29,0.0493028
30,0.0493028
31,0.0493028
32,0.0493028
33,0.0493028
34,0.0493028
35,0.0493028
36,0.0493028
37,0.0493028
38,0.0493028
39,0.0493028
40,0.0493028
41,0.0493028
42,0.0493028
43,0.0493028
44,0.0493028
45,0.0493028
46,0.0493028
47,0.0493028
48,0.0493028
49,0.0493028
50,0.0493028
51,0.0493028
52,0.0493028
53,0.0493028
54,0.0493028
55,0.0493028
56,0.0493028
57,0.0493028
58,0.0493028
59,0.0493028
60,0.0493028
61,0.0493028
62,0.0493028
63,0.0493028
64,0.0493028
65,0.0493028
66,0.0493028
67,0.0493028
68,0.0493028
69,0.0493028
70,0.0493028
71,0.0493028
72,0.0493028
73,0.0493028
74,0.0493028
75,0.0493028
76,0.0493028
77,0.0493028
78,0.0493028
79,0.0493028
80,0.0493028
81,0.0493028
82,0.0493028
83,0.0493028
84,0.0493028
85,0.0493028
86,0.0493028
87,0.0493028
88,0.0493028
89,0.0493028
90,0.0493028
91,0.0493028
92,0.0493028
93,0.0493028
94,0.0493028
95,0.0493028
96,0.0493028
97,0.0493028
98,0.0493028
99,0.0493028
100,0.0493028
101,0.0493028
102,0.0493028
103,0.0493028
104,0.0493028
105,0.0493028
106,0.0493028
107,0.0493028
108,0.0493028
109,0.0493028
110,0.0493028
